catalogNo,Island,genetic_ID,Sex,Prep,total_length,tail_length,hindfoot,ear_from_notch,immature,pregnant,MamCollector,MamPreparator,LocPreciseLocation,,MamDateCollDate,Month,Day,Year
5853,SBI,NA,F,SS,181,80,22,20,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
5854,SBI,NA,M,SS,185,80,22,21,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
5855,SBI,NA,M,SK,183,80,21,20,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
5856,SBI,NA,M,SS,170,78,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
5857,SBI,NA,M,SS,163,72,21,17,TRUE,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
5858,SBI,NA,M,SS,155,72,20,17,TRUE,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/29/1939,5,29,1939
5859,SBI,NA,M,SS,165,72,20,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5860,SBI,manic,M,SS,168,71,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5861,SBI,manic,M,SS,163,72,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5862,SBI,manic,M,SS,170,78,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5863,SBI,manic,M,SS,182,80,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5864,SBI,manic,M,SS,183,79,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5865,SBI,manic,F,SS,174,75,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5866,SBI,manic,F,SS,185,82,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5867,SBI,manic,F,SS,179,73,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5868,SBI,manic,F,SS,174,74,21,19,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
5869,SBI,manic,F,SS,169,70,21,18,,,"von Bloeker, J C","von Bloeker, J C",Santa Barbara Id,,5/30/1939,5,30,1939
